month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
1,102244.66262634606,1200.0,1200.0,100,1200.0,100,0,62088.53177070828,40156.13085563779,0.0,0.0,8517
2,101052.40809290367,1201.9818975623043,1201.9818975623043,100,2401.9818975623043,200,0,60808.88103922841,40243.52705367526,0.0,0.0,8517
3,97590.63506407152,1203.9670683895647,1203.9670683895647,100,3605.948965951869,300,0,57991.5206124746,39599.11445159693,0.0,0.0,8517
4,100724.38785825958,1205.9555178878445,1205.9555178878445,100,4811.904483839713,400,0,61484.42168953187,39239.96616872772,0.0,0.0,8517
5,103615.32822627002,1207.9472514721356,1207.9472514721356,100,6019.851735311849,500,0,64813.73274482303,38801.595481446995,0.0,0.0,8517
6,104219.20700703966,2421.882867169822,1209.9422745663728,100,8441.73460248167,600,0,65545.14682911536,38674.06017792431,0.0,0.0,8517
7,100457.76611876082,1211.9405926034494,1211.9405926034494,100,9653.67519508512,700,0,62261.4644072973,38196.30171146352,0.0,0.0,8517
8,95079.07132499047,1213.9422110252315,1213.9422110252315,100,10867.61740611035,800,0,58564.58466867075,36514.486656319714,0.0,0.0,8517
9,97862.9062476446,1215.9471352825724,1215.9471352825724,100,12083.564541392923,900,0,61122.088141374305,36740.8181062703,0.0,0.0,8517
10,95452.68265304818,1217.9553708353285,1217.9553708353285,100,13301.519912228252,1000,0,58772.68915402847,36679.99349901969,0.0,0.0,8517
11,98713.17070606376,1219.9669231523735,1219.9669231523735,100,14521.486835380625,1100,0,61431.05173346593,37282.11897259782,0.0,0.0,8517
12,95319.06909906415,2445.981797711613,1221.9817977116131,100,16967.468633092238,1200,0,58650.066583543936,36669.00251552021,0.0,0.0,8517
13,96379.69503920799,1224.0000000000005,1224.0000000000005,100,18191.468633092238,1300,0,59330.57919498406,37049.11584422395,0.0,0.0,8517
14,96269.44804235018,1226.0215355135508,1226.0215355135508,100,19417.49016860579,1400,0,58997.544693843105,37271.903348507054,0.0,0.0,8517
15,96252.95022378227,1228.0464097573565,1228.0464097573565,100,20645.536578363146,1500,0,59061.296882078146,37191.65334170413,0.0,0.0,8517
16,98548.7713188651,1230.074628245602,1230.074628245602,100,21875.611206608748,1600,0,60495.992433779844,38052.778885085245,0.0,0.0,8517
17,96908.44651401672,1232.106196501579,1232.106196501579,100,23107.717403110328,1700,0,57690.50155940614,39217.94495461058,0.0,0.0,8517
18,98716.29546681381,1234.141120057701,1234.141120057701,100,24341.85852316803,1800,0,60685.03156573861,38031.2639010752,0.0,0.0,8517
19,98264.57093080039,1236.1794044555193,1236.1794044555193,100,25578.03792762355,1900,0,60361.02767000863,37903.54326079174,0.0,0.0,8517
20,104768.81531988278,1238.2210552457368,1238.2210552457368,100,26816.258982869287,2000,0,67056.68363095362,37712.13168892917,0.0,0.0,8517
21,104308.1857662393,1240.2660779882247,1240.2660779882247,100,28056.52506085751,2100,0,67620.03276708187,36688.15299915743,0.0,0.0,8517
22,107684.92739113556,1242.314478252036,1242.314478252036,100,29298.839539109547,2200,0,70872.55604202948,36812.37134910609,0.0,0.0,8517
