month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
1,102422.83074379401,1200.0,1200.0,100,1200.0,100,0,72437.96163166717,20078.437192181882,0.0,9906.43191994497,8517
2,100884.1385317734,1200.9954457372155,1200.9954457372155,100,2400.9954457372155,200,0,70944.41785868506,20121.968680115824,0.0,9817.751992972513,8517
3,97178.34090828555,1201.9917172346106,1201.9917172346106,100,3602.9871629718264,300,0,67655.61297279944,19799.217440566845,0.0,9723.510494919281,8517
4,100994.24669782828,1202.9888151771852,1202.9888151771852,100,4805.975978149012,400,0,71734.76037415763,19620.7858803013,0.0,9638.70044336934,8517
5,104588.0011912235,1203.9867402505067,1203.9867402505067,100,6009.962718399519,500,0,75629.39049571243,19404.2278139455,0.0,9554.382881565598,8517
6,105215.6195432975,2410.9705676752187,1204.985493140712,100,8420.933286074738,600,0,76506.40955219169,19346.40449145506,0.0,9362.80549965076,8517
7,101070.07175724892,1205.9850745345063,1205.9850745345063,100,9626.918360609245,700,0,72682.64594543766,19109.79057762574,0.0,9277.635234185518,8517
8,95836.78990875218,1206.9854851191653,1206.9854851191653,100,10833.90384572841,800,0,68378.15751968806,18271.354372237,0.0,9187.278016827118,8517
9,98867.88371710248,1207.9867255825343,1207.9867255825343,100,12041.890571310943,900,0,71378.08023414972,18388.178777474433,0.0,9101.624705478345,8517
10,96019.35692781536,1208.9887966130293,1208.9887966130293,100,13250.879367923973,1000,0,68645.4894471167,18360.68620282195,0.0,9013.1812778767,8517
11,99356.52462099575,1209.9916988996374,1209.9916988996374,100,14460.87106682361,1100,0,71762.74816323866,18665.29738387932,0.0,8928.479073877774,8517
12,95627.44172810506,2422.995433131917,1210.995433131917,100,16883.866499955526,1200,0,68535.43407016077,18364.071255019775,0.0,8727.93640292449,8517
13,96539.22746538045,1211.999999999999,1211.999999999999,100,18095.866499955526,1300,0,69340.48661787556,18557.068038517034,0.0,8641.672808987849,8517
14,96189.61821899236,1213.0054001945866,1213.0054001945866,100,19308.871900150112,1400,0,68959.82640378723,18670.97543506521,0.0,8558.816380139915,8517
15,96154.00400633542,1214.0116344069559,1214.0116344069559,100,20522.88353455707,1500,0,69043.4816718119,18633.241139063302,0.0,8477.281195460215,8517
16,98191.44237540678,1215.018703328956,1215.018703328956,100,21737.902237886025,1600,0,70728.46478702626,19066.773964065163,0.0,8396.203624315363,8517
