month,portfolio_value,withdrawal,base_withdrawal,contribution,total_withdrawals,total_contributions,total_rebalance_costs,stocks_value,bonds_value,gold_value,cash_value,simulation
1,102422.83074379401,1200.0,1200.0,100,1200.0,100,0,72437.96163166717,20078.437192181882,0.0,9906.43191994497,8517
2,100880.24502897024,1204.8889485403781,1204.8889485403781,100,2404.888948540378,200,0,70941.67984363312,20121.19209677377,0.0,9817.37308856334,8517
3,97166.741798233,1209.7978152622816,1209.7978152622816,100,3614.6867638026597,300,0,67647.53766617029,19796.854225678613,0.0,9722.349906384079,8517
4,100970.32260727363,1214.7266813148474,1214.7266813148474,100,4829.413445117507,400,0,71717.76743684466,19616.137997144564,0.0,9636.417173284399,8517
5,104547.2753851266,1219.6756281778244,1219.6756281778244,100,6049.089073295331,500,0,75599.94096175562,19396.67194892838,0.0,9550.662474442615,8517
6,105130.44121016996,2454.278829578072,1224.6447376629199,100,8503.367902873404,600,0,76444.4730406023,19330.74242061666,0.0,9355.225748951012,8517
7,100963.70511444104,1229.634091915152,1229.634091915152,100,9733.001994788556,700,0,72606.15436978925,19089.679339618648,0.0,9267.871405033142,8517
8,95707.10751232615,1234.6437734142085,1234.6437734142085,100,10967.645768202765,800,0,68285.6310135437,18246.630328128293,0.0,9174.846170654177,8517
9,98700.91334800037,1239.6738649758086,1239.6738649758086,100,12207.319633178573,900,0,71257.53528108286,18357.124395786883,0.0,9086.253671130617,8517
10,95819.5886775754,1244.7244497530737,1244.7244497530737,100,13452.044082931647,1000,0,68502.67252194167,18322.486799354792,0.0,8994.42935627895,8517
11,99107.70014431424,1249.7956112379013,1249.7956112379013,100,14701.839694169548,1100,0,71583.02842842447,18618.55276523082,0.0,8906.118950658953,8517
12,95290.24660006893,2514.887433262345,1254.887433262345,100,17216.727127431892,1200,0,68293.76897854402,18299.31708774102,0.0,8697.160533783883,8517
13,96146.89619861191,1260.0000000000005,1260.0000000000005,100,18476.727127431892,1300,0,69058.68986367124,18481.65291243606,0.0,8606.55342250462,8517
14,95742.05654732746,1265.1333959673973,1265.1333959673973,100,19741.86052339929,1400,0,68638.96251270978,18584.101059929348,0.0,8518.992974688332,8517
15,95645.1485765103,1270.287706025396,1270.287706025396,100,21012.148229424685,1500,0,68678.09750600619,18534.632391285846,0.0,8432.418679218252,8517
16,97605.45955397283,1275.4630153805902,1275.4630153805902,100,22287.611244805274,1600,0,70306.37438536846,18952.98806039761,0.0,8346.097108206764,8517
17,94770.9397894503,1280.659409586716,1280.659409586716,100,23568.27065439199,1700,0,66994.5540607149,19518.355924350217,0.0,8258.029804385194,8517
18,97514.33514369089,1285.8769745460663,1285.8769745460663,100,24854.147628938055,1800,0,70425.22855268657,18915.187743827413,0.0,8173.9188471769,8517
19,96928.96801471896,1291.1157965109103,1291.1157965109103,100,26145.263425448964,1900,0,69998.97603541904,18838.142888733375,0.0,8091.84909056656,8517
20,104465.41936610422,1296.3759620849194,1296.3759620849194,100,27441.639387533884,2000,0,77718.51279834639,18732.110319314783,0.0,8014.7962484430445,8517
21,104477.11996496565,1301.6575582245996,1301.6575582245996,100,28743.296945758484,2100,0,78327.274495737,18213.218647402733,0.0,7936.626821825914,8517
22,108173.57575210118,1306.9606722407282,1306.9606722407282,100,30050.257617999214,2200,0,82050.18676726133,18264.94997230589,0.0,7858.439012533964,8517
23,105116.17878715032,1312.2853917997973,1312.2853917997973,100,31362.54300979901,2300,0,79471.38762516911,17866.940800995922,0.0,7777.85036098529,8517
24,102723.69108998447,1317.631804925463,1317.631804925463,100,32680.174814724473,2400,0,76859.57087090758,18160.946994144768,0.0,7703.1732249321085,8517
25,103307.24364317012,1323.0000000000014,1323.0000000000014,100,34003.17481472447,2500,0,77802.13506053395,17879.92808770084,0.0,7625.180494935331,8517
26,102619.31526004712,1328.3900657657682,1328.3900657657682,100,35331.56488049024,2600,0,77177.5740519478,17894.951732776848,0.0,7546.789475322469,8517
27,102438.29265771131,1333.8020913266666,1333.8020913266666,100,36665.366971816904,2700,0,77575.61533288249,17394.29118663684,0.0,7468.386138191991,8517
