final_value,total_withdrawals,total_contributions,net_flow,total_rebalance_costs,months_survived,survived_full_period,total_return
0.0,117382.35543554548,9000,-108382.35543554548,45.69175812643162,89,False,-1.0
30499.996734103963,161552.11833582347,12000,-149552.11833582347,32.773845821153856,120,True,-0.6950000326589604
0.0,127159.59601497225,9700,-117459.59601497225,0.0,96,False,-1.0
0.0,99521.56324692776,7700,-91821.56324692776,0.0,76,False,-1.0
0.0,139897.43620130038,10600,-129297.43620130038,0.0,105,False,-1.0
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
6920.8069434828885,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9307919305651711
44872.02872373605,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5512797127626394
18635.464354474985,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8136453564552502
0.0,145619.7082462553,11000,-134619.7082462553,0.0,109,False,-1.0
111408.6513430177,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.114086513430177
41066.90244650783,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5893309755349216
0.0,103609.34151485492,8000,-95609.34151485492,0.0,79,False,-1.0
6622.723322168204,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.933772766778318
0.0,149936.26845346577,11300,-138636.26845346577,0.0,112,False,-1.0
12362.461923917162,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8763753807608284
0.0,137050.43355390138,10400,-126650.43355390138,0.0,103,False,-1.0
0.0,118772.19878502285,9100,-109672.19878502285,0.0,90,False,-1.0
32362.262131330102,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6763773786866989
0.0,111845.86082699824,8600,-103245.86082699824,0.0,85,False,-1.0
0.0,110467.4380258191,8500,-101967.4380258191,0.0,84,False,-1.0
7521.9412575392835,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9247805874246072
0.0,96807.59899692662,7500,-89307.59899692662,0.0,74,False,-1.0
0.0,113226.56020550194,8700,-104526.56020550194,0.0,86,False,-1.0
98199.06016286195,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.01800939837138052
0.0,98163.46146337841,7600,-90563.46146337841,0.0,75,False,-1.0
161589.09265040833,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.6158909265040833
0.0,102244.49956508438,7900,-94344.49956508438,0.0,78,False,-1.0
0.0,107717.40714661226,8300,-99417.40714661226,0.0,82,False,-1.0
0.0,158633.76356656215,11900,-146733.76356656215,0.0,118,False,-1.0
0.0,158633.76356656215,11900,-146733.76356656215,0.0,118,False,-1.0
20237.80793116908,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7976219206883092
83338.70782540298,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.16661292174597023
98888.17583191341,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.011118241680865903
39230.61747755578,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6076938252244422
0.0,113226.56020550194,8700,-104526.56020550194,0.0,86,False,-1.0
116055.45517636923,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.1605545517636923
138357.28647684163,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.38357286476841634
76794.94986366655,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.23205050136333447
0.0,92753.4106074263,7200,-85553.4106074263,0.0,71,False,-1.0
43685.14026693388,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5631485973306612
7892.749519085877,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9210725048091413
0.0,86040.87287887021,6700,-79340.87287887021,0.0,66,False,-1.0
0.0,138472.76033344373,10500,-127972.76033344373,0.0,104,False,-1.0
29351.13055832628,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7064886944167371
0.0,129973.90063824876,9900,-120073.90063824876,0.0,98,False,-1.0
0.0,139897.43620130038,10600,-129297.43620130038,0.0,105,False,-1.0
0.0,100881.90804598892,7800,-93081.90804598892,0.0,77,False,-1.0
60112.54869498117,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.39887451305018834
132240.6167884072,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.32240616788407206
0.0,120164.33757378881,9200,-110964.33757378881,0.0,91,False,-1.0
93343.80338086834,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.0665619661913166
0.0,152825.87025778412,11500,-141325.87025778412,0.0,114,False,-1.0
0.0,151379.87723698787,11400,-139979.87723698787,0.0,113,False,-1.0
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
0.0,104976.4376120698,8100,-96876.4376120698,0.0,80,False,-1.0
0.0,107717.40714661226,8300,-99417.40714661226,0.0,82,False,-1.0
48249.37905865306,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5175062094134694
0.0,131384.5399483452,10000,-121384.53994834519,0.0,99,False,-1.0
177835.32685636167,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.7783532685636168
1033.860400141456,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9896613959985855
0.0,154274.25145361622,11600,-142674.25145361622,0.0,115,False,-1.0
0.0,141324.4650371817,10700,-130624.46503718171,0.0,106,False,-1.0
14306.026215803095,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8569397378419691
0.0,114609.53992128276,8800,-105809.53992128276,0.0,87,False,-1.0
0.0,113226.56020550194,8700,-104526.56020550194,0.0,86,False,-1.0
196648.74436913518,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.9664874436913518
147963.45410065717,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.47963454100657166
0.0,134212.81177289318,10200,-124012.81177289318,0.0,101,False,-1.0
0.0,138472.76033344373,10500,-127972.76033344373,0.0,104,False,-1.0
0.0,148495.03997594892,11200,-137295.03997594892,0.0,111,False,-1.0
15484.98058173714,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8451501941826286
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
14701.741134566075,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8529825886543392
682.5873720492168,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9931741262795077
159210.47412537585,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.5921047412537586
141303.7136082865,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.4130371360828649
9155.821639673362,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9084417836032663
100096.00422742074,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.0009600422742073715
3125.0996864428485,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9687490031355716
0.0,94102.57725213951,7300,-86802.57725213951,0.0,72,False,-1.0
9665.4916371792,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.903345083628208
5117.859807742801,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9488214019225719
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
0.0,127159.59601497225,9700,-117459.59601497225,0.0,96,False,-1.0
0.0,138472.76033344373,10500,-127972.76033344373,0.0,104,False,-1.0
35536.676429715386,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.6446332357028461
0.0,100881.90804598892,7800,-93081.90804598892,0.0,77,False,-1.0
111443.38948812986,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.11443389488129863
0.0,160091.73697038658,12000,-148091.73697038658,0.0,119,False,-1.0
0.0,128565.58727217498,9800,-118765.58727217498,0.0,97,False,-1.0
0.0,117382.35543554548,9000,-108382.35543554548,0.0,89,False,-1.0
19451.01268622869,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8054898731377131
26882.499070311904,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.7311750092968811
0.0,104976.4376120698,8100,-96876.4376120698,0.0,80,False,-1.0
161005.26739068324,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.6100526739068324
0.0,129973.90063824876,9900,-120073.90063824876,0.0,98,False,-1.0
0.0,155725.02476874943,11700,-144025.02476874943,0.0,116,False,-1.0
63386.75214451792,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.3661324785548208
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
40169.16454342591,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.5983083545657408
0.0,109091.2880482116,8400,-100691.2880482116,0.0,83,False,-1.0
0.0,145619.7082462553,11000,-134619.7082462553,0.0,109,False,-1.0
0.0,149936.26845346577,11300,-138636.26845346577,0.0,112,False,-1.0
85413.75907031597,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.14586240929684033
0.0,134212.81177289318,10200,-124012.81177289318,0.0,101,False,-1.0
80936.0647399768,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.19063935260023193
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
0.0,127159.59601497225,9700,-117459.59601497225,0.0,96,False,-1.0
125063.44015565379,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.25063440155653793
0.0,99521.56324692776,7700,-91821.56324692776,0.0,76,False,-1.0
3511.766659062802,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.9648823334093719
101909.30322754776,161552.11833582347,12000,-149552.11833582347,0.0,120,True,0.0190930322754776
0.0,121558.77559294798,9300,-112258.77559294798,0.0,92,False,-1.0
0.0,107717.40714661226,8300,-99417.40714661226,0.0,82,False,-1.0
0.0,117382.35543554548,9000,-108382.35543554548,0.0,89,False,-1.0
85192.04792241097,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.14807952077589026
0.0,124354.56451818129,9500,-114854.56451818129,0.0,94,False,-1.0
15555.030925126508,161552.11833582347,12000,-149552.11833582347,0.0,120,True,-0.8444496907487349
