final_value,total_withdrawals,total_contributions,net_flow,total_rebalance_costs,months_survived,survived_full_period,total_return
0.0,118385.68744581896,9400,-108985.68744581896,23.442993890551406,93,False,-1.0
39059.3623488858,153763.11114193514,12000,-141763.11114193514,17.74322381444648,120,True,-0.609406376511142
0.0,128785.44139640991,10200,-118585.44139640991,0.0,101,False,-1.0
0.0,100351.29583138025,8000,-92351.29583138025,0.0,79,False,-1.0
0.0,140567.92302933903,11100,-129467.92302933903,0.0,110,False,-1.0
0.0,127481.69628124236,10100,-117381.69628124236,0.0,100,False,-1.0
20519.41627225088,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.7948058372774912
54041.85905750273,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.4595814094249727
25550.756534257675,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.7444924346574233
0.0,147151.84038779142,11600,-135551.84038779142,0.0,115,False,-1.0
122817.39870318823,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.22817398703188227
54801.83055518665,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.4519816944481335
0.0,104198.20346563713,8300,-95898.20346563713,0.0,82,False,-1.0
15971.111199797358,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.8402888880020264
5345.851167311446,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.9465414883268856
22302.43721805418,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.7769756278194582
0.0,140567.92302933903,11100,-129467.92302933903,0.0,110,False,-1.0
0.0,120979.1619511154,9600,-111379.1619511154,0.0,95,False,-1.0
43868.081682906624,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.5613191831709338
0.0,113211.62358587555,9000,-104211.62358587555,0.0,89,False,-1.0
0.0,113211.62358587555,9000,-104211.62358587555,0.0,89,False,-1.0
18647.28030664539,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.813527196933546
0.0,96513.94580545477,7700,-88813.94580545477,0.0,76,False,-1.0
0.0,113211.62358587555,9000,-104211.62358587555,0.0,89,False,-1.0
110187.40511870867,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.10187405118708673
0.0,99071.11837343783,7900,-91171.11837343783,0.0,78,False,-1.0
175800.33306358283,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.7580033306358284
0.0,102914.83749618154,8200,-94714.83749618154,0.0,81,False,-1.0
0.0,108054.69251316274,8600,-99454.69251316274,0.0,85,False,-1.0
8642.149252427202,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.913578507475728
9582.77230657318,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.9041722769342682
28089.806517632172,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.7191019348236783
95334.4567299274,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.04665543270072594
113928.47790418088,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.1392847790418088
50648.41784950921,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.49351582150490786
0.0,114503.5311318478,9100,-105403.5311318478,0.0,90,False,-1.0
128498.39252280188,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.2849839252280188
158249.27523511133,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.5824927523511133
89598.20920010681,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.10401790799893192
0.0,93961.01050849655,7500,-86461.01050849655,0.0,74,False,-1.0
53711.02940203854,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.4628897059796146
19562.77165142337,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.8043722834857664
0.0,86327.55808974413,6900,-79427.55808974413,0.0,68,False,-1.0
0.0,137941.98967055403,10900,-127041.98967055403,0.0,108,False,-1.0
44681.83381807921,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.5531816618192079
0.0,134011.24589495274,10600,-123411.24589495274,0.0,105,False,-1.0
0.0,141882.5236683671,11200,-130682.5236683671,0.0,111,False,-1.0
0.0,101632.53524531717,8100,-93532.53524531717,0.0,80,False,-1.0
70794.62082997255,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.29205379170027446
146774.7884046721,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.46774788404672085
0.0,122277.51296621627,9700,-112577.51296621627,0.0,96,False,-1.0
104777.69760054557,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.047776976005455656
4634.957560425668,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.9536504243957433
3390.671303769104,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.9660932869623089
0.0,124877.44698481528,9900,-114977.44698481528,0.0,98,False,-1.0
0.0,106768.13009063432,8500,-98268.13009063432,0.0,84,False,-1.0
0.0,108054.69251316274,8600,-99454.69251316274,0.0,85,False,-1.0
65242.52509064913,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.3475747490935087
0.0,131396.17704268894,10400,-120996.17704268894,0.0,103,False,-1.0
189213.9200917754,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.8921392009177539
9453.448633194617,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.905465513668054
6833.408651019579,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.9316659134898042
0.0,141882.5236683671,11200,-130682.5236683671,0.0,111,False,-1.0
25597.051127065457,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.7440294887293455
0.0,114503.5311318478,9100,-105403.5311318478,0.0,90,False,-1.0
0.0,114503.5311318478,9100,-105403.5311318478,0.0,90,False,-1.0
210378.3876801102,153763.11114193514,12000,-141763.11114193514,0.0,120,True,1.103783876801102
162138.11708191584,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.6213811708191584
0.0,136630.65514530215,10800,-125830.65514530215,0.0,107,False,-1.0
0.0,139254.41199777526,11000,-128254.41199777526,0.0,109,False,-1.0
0.0,149793.05992857786,11800,-137993.05992857786,0.0,117,False,-1.0
30202.445847657902,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.697975541523421
0.0,126179.03177593218,10000,-116179.03177593218,0.0,99,False,-1.0
26649.53667919806,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.7335046332080194
13137.669901014127,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.8686233009898587
171424.3348376404,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.714243348376404
156405.17583494665,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.5640517583494665
19360.243051607507,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.8063975694839249
110697.31012905682,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.10697310129056815
13958.982688274815,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.8604101731172519
0.0,95236.94893719658,7600,-87636.94893719658,0.0,75,False,-1.0
20063.11208066413,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.7993688791933588
20012.388485449985,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.7998761151455003
0.0,126179.03177593218,10000,-116179.03177593218,0.0,99,False,-1.0
0.0,128785.44139640991,10200,-118585.44139640991,0.0,101,False,-1.0
0.0,141882.5236683671,11200,-130682.5236683671,0.0,111,False,-1.0
48315.96675590245,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.5168403324409755
0.0,100351.29583138025,8000,-92351.29583138025,0.0,79,False,-1.0
128965.51953210655,153763.11114193514,12000,-141763.11114193514,0.0,120,True,0.28965519532106554
10051.231851825518,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.8994876814817448
0.0,130090.26801784188,10300,-119790.26801784188,0.0,102,False,-1.0
0.0,118385.68744581896,9400,-108985.68744581896,0.0,93,False,-1.0
30942.87643587044,153763.11114193514,12000,-141763.11114193514,0.0,120,True,-0.6905712356412956
